Method,SNR,nestboot,topology,random,Max_AUROC,Max_MCC,Max_F1
CLR,1000,No,scalefree,Yes,0.499559277214632,-0.009028332036400447,0.13500189609404625
CLR,1000,yes,scalefree,No,0.5932176388324472,0.10157738205799195,0.20998980632008155
GENIE3,1000,No,scalefree,No,0.679863547646712,0.3070759136778306,0.3620689655172413
GENIE3,1000,No,scalefree,Yes,0.499779638607316,-0.006382717368049732,0.13769230769230767
GENIE3,1000,yes,scalefree,No,0.6745090519881176,0.2786288838454635,0.33495145631067963
TIGRESS,1000,No,scalefree,No,0.5079139312281666,0.0142450522562258,0.155148095909732
TIGRESS,1000,No,scalefree,Yes,0.49133817556029985,-0.019408070702496193,0.12358946802794195
TIGRESS,1000,yes,scalefree,No,0.5295370121284622,0.01927856069070393,0.1577981651376147
Lasso,1000,No,smallworld,No,0.9956467353270182,0.36175922774787284,0.3610894941634241
Lasso,1000,No,smallworld,Yes,0.5060201793104208,0.04095492943423822,0.18204488778054864
Lasso,1000,yes,smallworld,No,0.7190500331546107,-0.20892250828894116,0.14552380952380953
LSCO,1000,No,smallworld,No,0.9775320111899106,0.8809427156476244,0.8898678414096917
LSCO,1000,No,smallworld,Yes,0.5,0.013075494157490623,0.1761052246985751
LSCO,1000,yes,smallworld,No,0.7599045955413019,0.17802280963743,0.2630834512022631
CLR,1000,No,smallworld,No,0.6142575846912028,0.27702646674741865,0.3185378590078329
